Index,TP_last_year,TN_last_year,TN2TP_last_year,Chla_last_year
L2,0.013545454545454545,1.9781818181818183,146.04026845637586,0.004571428571428572
L3,0.02625,0.5683333333333334,21.650793650793652,0.00825
L4,0.044500000000000005,1.0391666666666668,23.352059925093634,0.0256
L6,0.02866666666666667,1.39,48.488372093023244,0.007583333333333333
L7,0.022583333333333334,1.7249999999999999,76.38376383763837,0.01175
L10,0.02075,2.86,137.8313253012048,0.006166666666666667
L11,0.011833333333333333,0.5872222222222222,49.624413145539904,0.0015
L12,0.04133333333333333,0.6925,16.754032258064516,0.00825
L14,0.029916666666666664,1.2308333333333332,41.14206128133705,0.02725
L15,0.08,1.625,20.3125,0.01959090909090909
L16,0.024249999999999997,0.515,21.23711340206186,0.0062499999999999995
L17,0.11416666666666668,1.3858333333333333,12.138686131386859,0.013900000000000001
L18,0.011083333333333334,0.5383333333333333,48.57142857142857,0.00975
L19,0.012666666666666668,2.733333333333333,215.78947368421046,0.0033333333333333335
L20,0.008916666666666666,0.3658333333333333,41.02803738317757,0.00825
L22,0.10841666666666666,1.2866666666666666,11.867794004611838,0.0173
L23,0.013708333333333335,1.2691666666666668,92.58358662613982,0.0022083333333333334
L25,0.05925,1.6608333333333334,28.030942334739805,0.06533333333333334
L26,0.08818181818181818,1.55,17.577319587628867,0.021
L28,0.005833333333333334,0.7871428571428571,134.93877551020407,0.0028333333333333335
L29,0.03459090909090909,5.047727272727273,145.9264126149803,0.007909090909090909
L30,0.024916666666666667,1.0158333333333334,40.769230769230774,0.020999999999999998
L31,0.013333333333333334,0.6191666666666666,46.43749999999999,0.00825
L32,0.05883333333333333,1.5566666666666666,26.458923512747877,0.0028333333333333335
L34,0.020916666666666667,0.44249999999999995,21.155378486055774,0.007916666666666667
L37,0.011250000000000001,0.15083333333333335,13.407407407407407,0.004
L38,0.045625,1.0999999999999999,24.109589041095887,0.0395
L39,0.018583333333333334,0.6966666666666667,37.48878923766816,0.007
L41,0.014666666666666666,1.8616666666666666,126.93181818181817,0.0025
L42,0.08075,1.2191666666666665,15.098039215686272,0.017499999999999998
L43,0.0155,0.3183333333333333,20.53763440860215,0.00425
L44,0.008,1.9783333333333333,247.29166666666666,0.0032500000000000003
L45,0.029083333333333333,1.0275,35.32951289398281,0.03308333333333333
L47,0.034999999999999996,0.681,19.45714285714286,0.015
L48,0.0165,1.0758333333333334,65.20202020202021,0.015
L51,0.13949999999999999,1.6304166666666668,11.687574671445642,0.03795833333333334
L52,0.074625,1.8020833333333333,24.14852037967616,0.017714285714285714
L53,0.01,0.7999999999999999,79.99999999999999,0.005999999999999999
L54,0.009833333333333333,0.3941666666666667,40.08474576271187,0.007
L55,0.005,1.6091666666666666,321.8333333333333,0.0022500000000000003
L58,0.03820833333333334,0.71875,18.811341330425297,0.016125
L59,0.022272727272727274,0.9618181818181818,43.18367346938775,0.002318181818181818
L60,0.03883333333333333,0.7666666666666666,19.742489270386265,0.0179
L62,0.036625,1.4262499999999998,38.9419795221843,0.00625
L64,0.015666666666666666,2.9583333333333335,188.82978723404258,0.009
L65,0.011500000000000002,0.48333333333333334,42.02898550724637,0.007
L66,0.06481818181818183,2.096363636363636,32.34221598877979,0.0064444444444444445
L67,0.04370833333333333,0.7695833333333333,17.607244995233557,0.02691666666666667
L68,0.06025,0.8966666666666666,14.882434301521439,0.022636363636363635
L69,0.011583333333333334,1.7233333333333334,148.77697841726618,0.00175
L73,0.0265,0.5125000000000001,19.339622641509436,0.00575
L75,0.041874999999999996,2.5391666666666666,60.636815920398014,0.013214285714285715
L77,0.005083333333333333,2.235,439.672131147541,0.00125
L78,0.024166666666666666,1.5083333333333335,62.413793103448285,0.0097
L81,0.043083333333333335,1.42,32.95938104448742,0.010583333333333333
L82,0.011250000000000001,0.6875,61.11111111111111,0.0034999999999999996
L83,0.03133333333333333,1.1616666666666666,37.07446808510638,0.020666666666666667
L84,0.09875,0.85,8.60759493670886,0.004125
L85,0.008333333333333333,0.5941666666666666,71.3,0.002
L86,0.05908333333333334,1.4279166666666667,24.16784203102962,0.011458333333333334
L87,0.06733333333333334,2.0383333333333336,30.27227722772277,0.07716666666666668
L88,0.007083333333333334,0.6375000000000001,90.0,0.0054
L91,0.010583333333333333,0.24833333333333332,23.464566929133856,0.0032500000000000003
L93,0.0205,3.957,193.02439024390242,0.0084
L95,0.025249999999999998,0.5675,22.475247524752476,0.010818181818181817
L97,0.010750000000000001,1.5766666666666669,146.66666666666669,0.0085
L103,0.06863636363636363,2.0477272727272724,29.834437086092713,0.0185
L104,0.0067083333333333335,0.27708333333333335,41.30434782608696,0.0024000000000000002
L105,0.05641666666666667,1.1233333333333333,19.911373707533233,0.021375
L106,0.007833333333333333,0.6941666666666667,88.61702127659575,0.0085
L107,0.017166666666666667,0.4266666666666667,24.854368932038835,0.006999999999999999
L108,0.03208333333333333,1.11,34.5974025974026,0.01325
L109,0.02008333333333333,2.4883333333333333,123.90041493775935,0.005
L111,0.018,0.3441666666666667,19.120370370370374,0.00425
L113,0.03225,0.8687499999999999,26.937984496124027,0.005999999999999999
L114,0.03666666666666667,0.7488888888888889,20.424242424242426,0.005
L115,0.030416666666666665,0.6825,22.438356164383563,0.0072499999999999995
L117,0.034999999999999996,1.115,31.85714285714286,0.0275
L119,0.04033333333333333,3.279166666666667,81.30165289256199,0.01225
L120,0.06425,1.2083333333333333,18.806744487678337,0.019333333333333334
L121,0.005,0.8650000000000001,173.00000000000003,0.00375
L123,0.0316,3.806,120.44303797468353,0.004888888888888889
