Date,TP
2018-01-15,0.05
2018-02-15,0.04
2018-03-15,0.05
2018-05-15,0.05
2018-06-15,0.09
2018-07-15,0.08
2018-08-15,0.09
2018-09-15,0.1
2018-10-15,0.08
2018-11-15,0.07
2018-12-15,0.05
2019-01-15,0.04
2019-02-15,0.04
2019-03-15,0.05
2019-04-15,0.06
2019-05-15,0.1
2019-06-15,0.07
2019-07-15,0.08
2019-08-15,0.11
2019-09-15,0.12
2019-10-15,0.09
2019-11-15,0.06
2019-12-15,0.06
2020-01-15,0.07
2020-02-15,0.06
2020-03-15,0.06
2020-04-15,0.05
2020-05-15,0.09
2020-06-15,0.07
2020-07-15,0.078
2020-08-15,0.073
2020-09-15,0.071
2020-10-15,0.053
2020-11-15,0.042
2020-12-15,0.04
2021-01-15,0.038
2021-02-15,0.037
2021-03-15,0.044
2021-04-15,0.051
2021-05-15,0.074
2021-06-15,0.082
2021-07-15,0.065
2021-08-15,0.06
2021-09-15,0.075
2021-10-15,0.07
2021-11-15,0.056
2021-12-15,0.055
2022-01-15,0.063
2022-02-15,0.049
2022-03-15,0.048
2022-04-15,0.042
2022-05-15,0.04
2022-06-15,0.048
2022-07-15,0.071
2022-08-15,0.088
2022-09-15,0.047
2022-10-15,0.042
2022-11-15,0.047
2022-12-15,0.062
