Date,TN
2017-01-15,1.4
2017-02-15,1.34
2017-03-15,1.28
2017-04-15,1.24
2017-05-15,1.37
2017-06-15,1.39
2017-07-15,1.13
2017-08-15,1.11
2017-09-15,1.25
2017-10-15,0.87
2017-11-15,1.21
2017-12-15,1.49
2018-01-15,1.44
2018-02-15,1.55
2018-03-15,1.37
2018-04-15,1.12
2018-05-15,1.07
2018-06-15,1.49
2018-07-15,1.53
2018-08-15,0.87
2018-09-15,1.05
2018-10-15,1.06
2018-11-15,1.15
2018-12-15,1.26
2019-01-15,1.32
2019-02-15,1.22
2019-03-15,1.22
2019-04-15,1.3
2019-05-15,1.27
2019-06-15,1.06
2019-07-15,1.08
2019-08-15,0.67
2019-09-15,1.21
2019-10-15,1.17
2019-11-15,1.34
2019-12-15,1.26
2020-01-15,1.48
2020-02-15,1.42
2020-03-15,1.17
2020-04-15,1.27
2020-05-15,1.7
2020-06-15,1.02
2020-07-15,1.15
2020-08-15,1.37
2020-09-15,0.85
2020-10-15,1.25
2020-11-15,1.34
2020-12-15,1.42
2021-01-15,1.44
2021-02-15,1.33
2021-03-15,1.27
2021-04-15,1.39
2021-05-15,1.43
2021-06-15,1.12
2021-07-15,1.04
2021-08-15,1.6
2021-09-15,2.29
2021-10-15,2.35
2021-11-15,1.78
2021-12-15,1.54
2022-01-15,1.53
2022-02-15,1.54
2022-03-15,1.27
2022-04-15,1.52
2022-05-15,1.38
2022-06-15,1.24
2022-07-15,1.0
2022-08-15,0.7
2022-09-15,1.07
2022-10-15,1.4
2022-11-15,1.53
2022-12-15,1.4
