Date,TN
2012-01-15,1.45
2012-02-15,1.28
2012-03-15,3.21
2012-04-15,2.04
2012-05-15,0.99
2012-06-15,1.12
2012-07-15,0.76
2012-08-15,0.77
2012-09-15,0.99
2012-10-15,0.95
2012-11-15,1.06
2012-12-15,1.43
2013-01-15,1.64
2013-02-15,1.44
2013-03-15,2.6
2013-04-15,2.28
2013-05-15,1.1
2013-06-15,0.73
2013-07-15,0.86
2013-08-15,0.5
2013-09-15,0.73
2013-10-15,0.84
2013-11-15,1.35
2013-12-15,1.76
2014-01-15,0.97
2014-02-15,1.89
2014-03-15,2.21
2014-04-15,2.02
2014-05-15,1.49
2014-06-15,1.26
2014-07-15,2.08
2014-08-15,1.2
2014-09-15,1.09
2014-10-15,0.57
2014-11-15,1.85
2014-12-15,2.25
2015-01-15,1.62
2015-02-15,3.22
2015-03-15,1.12
2015-04-15,2.89
2015-05-15,2.8
2015-06-15,3.83
2015-07-15,1.31
2015-08-15,1.59
2015-09-15,3.01
2015-10-15,1.21
2015-11-15,3.47
2015-12-15,2.13
2016-01-15,2.87
2016-02-15,2.15
2016-03-15,3.59
2016-04-15,1.09
2016-05-15,4.12
2016-06-15,3.49
2016-07-15,2.72
2016-08-15,1.96
2016-09-15,2.12
2016-10-15,5.91
2016-11-15,4.81
2016-12-15,4.5
2017-01-15,1.92
2017-02-15,2.97
2017-03-15,3.11
2017-04-15,1.3
2017-05-15,2.4
2017-06-15,3.01
2017-07-15,3.04
2017-08-15,1.57
2017-09-15,2.83
2017-10-15,1.1
2017-11-15,0.98
2017-12-15,1.09
2018-01-15,0.915
2018-02-15,1.6
2018-03-15,1.67
2018-04-15,3.2
2018-05-15,1.19
2018-06-15,0.97
2018-07-15,1.19
2018-08-15,0.86
2018-09-15,0.71
2018-10-15,0.15
2018-11-15,0.14
2018-12-15,0.6
2019-01-15,1.51
2019-02-15,2.77
2019-03-15,2.12
2019-04-15,1.8
2019-05-15,1.06
2019-06-15,0.99
2019-07-15,1.33
2019-08-15,0.98
2019-09-15,0.81
2019-10-15,0.81
2019-11-15,0.66
2019-12-15,0.89
2020-01-15,1.21
2020-02-15,1.83
2020-03-15,1.26
2020-04-15,1.28
2020-05-15,1.31
2020-06-15,1.13
2020-07-15,1.7
2020-08-15,0.96
2020-09-15,0.55
2020-10-15,1.13
2020-11-15,0.66
2020-12-15,1.32
2021-01-15,1.48
2021-02-15,1.66
2021-03-15,1.69
2021-04-15,2.09
2021-05-15,1.6
2021-06-15,1.21
2021-07-15,1.46
2021-08-15,1.5
2021-09-15,0.36
2021-10-15,0.2
2021-11-15,0.44
2021-12-15,0.63
2022-01-15,0.79
2022-02-15,1.87
2022-03-15,1.92
2022-04-15,1.92
2022-05-15,1.39
2022-06-15,0.69
2022-07-15,0.5
2022-08-15,0.71
2022-09-15,0.86
2022-10-15,1.07
2022-11-15,0.88
2022-12-15,1.34
