Date,TN
2016-01-15,0.964
2016-02-15,0.992
2016-03-15,0.939
2016-04-15,1.02
2016-05-15,0.941
2016-06-15,0.986
2016-07-15,0.862
2016-08-15,0.445
2016-09-15,0.982
2016-10-15,0.998
2016-11-15,1.45
2016-12-15,1.24
2017-01-15,1.37
2017-02-15,1.28
2017-03-15,1.28
2017-04-15,1.42
2017-05-15,1.0
2017-06-15,0.6
2017-07-15,0.44
2017-08-15,0.57
2017-09-15,0.91
2017-10-15,1.22
2017-11-15,0.795
2017-12-15,0.95
2018-01-15,0.87
2018-02-15,1.28
2018-03-15,1.12
2018-04-15,1.18
2018-05-15,0.77
2018-06-15,0.64
2018-07-15,0.45
2018-08-15,0.48
2018-09-15,0.46
2018-10-15,0.48
2018-11-15,0.75
2018-12-15,0.7
2019-01-15,0.88
2019-02-15,1.38
2019-03-15,1.57
2019-04-15,1.06
2019-05-15,0.92
2019-06-15,0.1
2019-07-15,0.58
2019-08-15,0.55
2019-09-15,0.58
2019-10-15,0.52
2019-11-15,0.48
2019-12-15,0.6
2020-01-15,0.9
2020-02-15,0.97
2020-03-15,1.17
2020-04-15,0.96
2020-05-15,1.5
2020-06-15,0.44
2020-07-15,0.48
2020-08-15,0.26
2020-09-15,0.25
2020-10-15,0.29
2020-11-15,0.49
2020-12-15,0.97
2021-01-15,0.98
2021-02-15,1.07
2021-03-15,0.98
2021-04-15,0.92
2021-05-15,0.91
2021-06-15,0.5
2021-07-15,0.38
2021-08-15,0.5
2021-09-15,0.44
2021-10-15,0.41
2021-11-15,0.81
2021-12-15,0.96
2022-01-15,0.81
2022-02-15,1.01
2022-03-15,1.06
2022-04-15,0.9
2022-05-15,0.63
2022-06-15,0.58
2022-07-15,0.39
2022-08-15,0.39
2022-09-15,0.4
2022-10-15,0.36
2022-11-15,0.39
2022-12-15,0.51
