Date,TN
2018-02-15,0.54
2018-03-15,0.47
2018-04-15,0.58
2018-05-15,1.09
2018-06-15,0.72
2018-07-15,0.54
2018-08-15,0.63
2018-09-15,0.7
2018-10-15,0.68
2018-11-15,0.75
2018-12-15,0.96
2019-03-15,0.7
2019-04-15,0.72
2019-05-15,1.59
2019-06-15,1.05
2019-07-15,0.9
2019-08-15,0.89
2019-09-15,0.66
2019-10-15,0.94
2019-11-15,0.72
2019-12-15,0.95
2020-01-15,0.95
2020-02-15,0.9
2020-03-15,1.15
2020-04-15,0.9
2020-05-15,0.46
2020-06-15,0.59
2020-07-15,0.67
2020-08-15,0.63
2020-09-15,0.75
2020-10-15,0.59
2020-11-15,0.59
2020-12-15,0.68
2021-02-15,0.69
2021-03-15,0.78
2021-04-15,0.5
2021-05-15,0.43
2021-06-15,0.41
2021-07-15,0.39
2021-08-15,0.3
2021-09-15,0.4
2021-10-15,0.47
2021-11-15,0.41
2021-12-15,0.41
2022-03-15,0.44
2022-04-15,0.47
2022-05-15,0.9
2022-06-15,1.17
2022-07-15,0.81
2022-08-15,0.64
2022-09-15,0.55
2022-10-15,0.56
2022-11-15,0.58
2022-12-15,0.69
