Date,TP
2012-01-15,0.013
2012-02-15,0.01
2012-03-15,0.017
2012-04-15,0.019
2012-05-15,0.013
2012-06-15,0.01
2012-07-15,0.025
2012-08-15,0.02
2012-09-15,0.02
2012-10-15,0.02
2012-11-15,0.02
2012-12-15,0.02
2013-01-15,0.016
2013-02-15,0.02
2013-03-15,0.014
2013-04-15,0.02
2013-05-15,0.02
2013-06-15,0.0265
2013-07-15,0.023
2013-08-15,0.0195
2013-09-15,0.0205
2013-10-15,0.02
2013-11-15,0.02
2013-12-15,0.0225
2014-01-15,0.021
2014-02-15,0.017
2014-03-15,0.02
2014-04-15,0.0195
2014-05-15,0.02
2014-06-15,0.02
2014-07-15,0.0215
2014-08-15,0.016
2014-09-15,0.021
2014-10-15,0.021
2014-11-15,0.021
2014-12-15,0.0215
2015-01-15,0.022
2015-02-15,0.023
2015-03-15,0.0225
2015-04-15,0.0235
2015-05-15,0.02
2015-06-15,0.021
2015-07-15,0.021
2015-08-15,0.02
2015-09-15,0.0275
2015-10-15,0.0275
2015-11-15,0.0365
2015-12-15,0.0255
2016-01-15,0.0225
2016-02-15,0.0215
2016-03-15,0.027
2016-04-15,0.0275
2016-05-15,0.02
2016-06-15,0.02
2016-07-15,0.035
2016-08-15,0.024
2016-09-15,0.026
2016-10-15,0.023
2016-11-15,0.0275
2016-12-15,0.0205
2017-01-15,0.02
2017-02-15,0.02
2017-03-15,0.022
2017-04-15,0.0185
2017-05-15,0.0225
2017-06-15,0.0205
2017-07-15,0.03
2017-08-15,0.025
2017-09-15,0.02
2017-10-15,0.03
2017-11-15,0.04
2017-12-15,0.05
2018-01-15,0.035
2018-02-15,0.015
2018-03-15,0.03
2018-04-15,0.03
2018-05-15,0.03
2018-06-15,0.03
2018-07-15,0.025
2018-08-15,0.035
2018-09-15,0.04
2018-10-15,0.04
2018-11-15,0.04
2018-12-15,0.04
2019-01-15,0.05
2019-02-15,0.03
2019-03-15,0.03
2019-04-15,0.05
2019-05-15,0.02
2019-06-15,0.04
2019-07-15,0.04
2019-08-15,0.05
2019-09-15,0.055
2019-10-15,0.05
2019-11-15,0.05
2019-12-15,0.065
2020-01-15,0.03
2020-02-15,0.0245
2020-03-15,0.03
2020-04-15,0.035
2020-05-15,0.045
2020-06-15,0.03
2020-07-15,0.032
2020-08-15,0.03
2020-09-15,0.0295
2020-10-15,0.0285
2020-11-15,0.03
2020-12-15,0.034
2021-01-15,0.021
2021-02-15,0.021
2021-03-15,0.0195
2021-04-15,0.0195
2021-05-15,0.027
2021-06-15,0.0295
2021-07-15,0.036
2021-08-15,0.042
2021-09-15,0.041
2021-10-15,0.04
2021-11-15,0.032
2021-12-15,0.0285
2022-01-15,0.023
2022-02-15,0.02
2022-03-15,0.029
2022-04-15,0.027
2022-05-15,0.033
2022-06-15,0.0465
2022-07-15,0.0535
2022-08-15,0.0655
2022-09-15,0.067
2022-10-15,0.0615
2022-11-15,0.045
2022-12-15,0.0535
