Date,TN
2016-01-15,0.366
2016-02-15,0.339
2016-03-15,0.238
2016-04-15,0.296
2016-05-15,0.306
2016-06-15,0.358
2016-07-15,0.241
2016-08-15,0.312
2016-09-15,0.248
2016-10-15,0.271
2016-11-15,0.3
2016-12-15,0.482
2017-01-15,0.251
2017-02-15,0.271
2017-03-15,0.231
2017-04-15,0.43
2017-05-15,0.46
2017-06-15,0.4
2017-07-15,0.5
2017-08-15,0.59
2017-09-15,0.26
2017-10-15,0.75
2017-11-15,0.66
2017-12-15,0.75
2018-01-15,0.62
2018-02-15,0.96
2018-03-15,0.93
2018-04-15,1.24
2018-05-15,0.93
2018-06-15,0.71
2018-07-15,0.56
2018-08-15,0.43
2018-09-15,0.6
2018-10-15,0.88
2018-11-15,0.73
2018-12-15,0.54
2019-01-15,0.84
2019-02-15,1.42
2019-03-15,1.01
2019-04-15,0.76
2019-05-15,0.66
2019-06-15,0.44
2019-07-15,0.69
2019-08-15,0.37
2019-09-15,0.53
2019-10-15,0.49
2019-11-15,0.67
2019-12-15,0.81
2020-01-15,0.52
2020-02-15,0.76
2020-03-15,0.72
2020-04-15,0.64
2020-05-15,0.9
2020-06-15,0.53
2020-07-15,0.47
2020-08-15,0.36
2020-09-15,0.37
2020-10-15,0.46
2020-11-15,0.51
2020-12-15,0.53
2021-01-15,0.54
2021-02-15,0.55
2021-03-15,0.69
2021-04-15,0.8
2021-05-15,0.68
2021-06-15,0.52
2021-07-15,0.44
2021-08-15,0.4
2021-09-15,0.23
2021-10-15,0.28
2021-11-15,0.55
2021-12-15,0.58
2022-01-15,0.56
2022-02-15,0.67
2022-03-15,0.74
2022-04-15,0.7
2022-05-15,0.61
2022-06-15,0.55
2022-07-15,0.41
2022-08-15,0.26
2022-09-15,0.23
2022-10-15,0.25
2022-11-15,0.28
2022-12-15,0.54
