Date,TN
2016-01-15,0.14
2016-02-15,0.13
2016-03-15,0.24
2016-04-15,0.2
2016-05-15,0.14
2016-06-15,0.17
2016-07-15,0.12
2016-09-15,0.12
2016-10-15,0.1
2016-12-15,0.13
2017-01-15,0.38
2017-02-15,0.26
2017-03-15,0.24
2017-04-15,0.48
2017-05-15,1.0
2017-06-15,0.34
2017-07-15,0.63
2017-08-15,0.35
2017-09-15,0.88
2017-10-15,1.8
2017-11-15,0.965
2017-12-15,0.33
2018-01-15,0.39
2018-02-15,0.73
2018-03-15,0.35
2018-04-15,0.7
2018-05-15,0.37
2018-06-15,0.54
2018-07-15,0.53
2018-08-15,0.37
2018-09-15,0.38
2018-10-15,0.48
2018-11-15,0.29
2018-12-15,0.23
2019-01-15,0.65
2019-03-15,0.49
2019-04-15,0.57
2019-05-15,0.36
2019-06-15,0.37
2019-07-15,0.57
2019-08-15,0.35
2019-09-15,0.53
2019-10-15,0.31
2019-11-15,0.23
2019-12-15,0.37
2020-01-15,0.52
2020-02-15,0.36
2020-03-15,0.79
2020-04-15,0.34
2020-05-15,0.98
2020-06-15,0.37
2020-07-15,0.49
2020-08-15,0.49
2020-09-15,0.45
2021-02-15,0.46
2021-03-15,0.37
2021-04-15,0.41
2021-05-15,0.38
2021-09-15,3.83
2021-10-15,1.5
2021-11-15,0.49
2021-12-15,0.3
2022-01-15,0.29
2022-02-15,0.28
2022-03-15,0.34
2022-04-15,0.28
2022-05-15,0.25
2022-06-15,0.27
2022-07-15,0.38
2022-08-15,0.4
2022-09-15,0.39
2022-10-15,0.42
2022-11-15,0.38
2022-12-15,0.45
