Date,TN
2016-01-15,0.42
2016-02-15,0.43
2016-03-15,0.45
2016-04-15,0.45
2016-05-15,0.5
2016-06-15,0.46
2016-07-15,0.93
2016-08-15,0.53
2016-09-15,0.54
2016-10-15,0.48
2016-11-15,0.4
2016-12-15,0.38
2017-01-15,0.46
2017-02-15,0.4
2017-03-15,0.42
2017-04-15,0.4
2017-05-15,0.52
2017-06-15,0.92
2017-07-15,0.64
2017-08-15,0.39
2017-09-15,0.35
2017-10-15,0.36333
2017-11-15,0.57
2017-12-15,0.55667
2018-01-15,0.68
2018-02-15,0.50333
2018-03-15,0.64
2018-04-15,0.58
2018-05-15,1.01
2018-06-15,0.78
2018-07-15,0.67
2018-08-15,0.78
2018-09-15,0.63
2018-10-15,0.62
2018-11-15,0.48
2018-12-15,0.64
2019-01-15,0.38
2019-02-15,0.62
2019-03-15,0.54
2019-04-15,0.81
2019-05-15,0.81
2019-06-15,0.87
2019-07-15,0.73
2019-08-15,0.59
2019-09-15,0.55
2019-10-15,0.66
2019-11-15,0.62
2019-12-15,0.48
2020-01-15,0.39
2020-02-15,0.51
2020-03-15,0.47
2020-04-15,0.75
2020-05-15,1.14
2020-06-15,1.03
2020-07-15,1.29
2020-08-15,0.7
2020-09-15,0.57
2020-10-15,0.64
2020-11-15,0.66
2020-12-15,0.62
2021-01-15,0.57
2021-02-15,0.7
2021-03-15,0.66
2021-04-15,0.8
2021-05-15,1.01
2021-06-15,0.89
2021-07-15,0.76
2021-08-15,0.5
2021-09-15,0.44
2021-10-15,0.61
2021-11-15,0.66
2021-12-15,0.54
2022-01-15,0.48
2022-02-15,0.54
2022-03-15,0.63
2022-04-15,0.78
2022-05-15,0.91
2022-06-15,0.79
2022-07-15,0.68
2022-08-15,0.66
2022-09-15,0.69
2022-10-15,0.61
2022-11-15,0.57
2022-12-15,0.62
