Date,TN
2016-01-15,1.835
2016-02-15,2.236
2016-03-15,1.768
2016-04-15,1.725
2016-05-15,1.94
2016-06-15,1.23
2016-07-15,1.065
2016-08-15,1.55
2016-09-15,1.45
2016-10-15,1.065
2016-11-15,1.625
2016-12-15,1.8
2017-01-15,1.795
2017-02-15,2.09
2017-03-15,1.52
2017-04-15,1.66
2017-05-15,1.915
2017-06-15,1.38
2017-07-15,1.735
2017-08-15,1.975
2017-09-15,2.07
2017-10-15,3.94667
2017-11-15,1.54667
2017-12-15,1.39
2018-01-15,1.65333
2018-02-15,2.14667
2018-03-15,1.67
2018-04-15,1.68
2018-05-15,1.99
2018-06-15,1.75
2018-07-15,2.05
2018-08-15,1.78
2018-09-15,1.34
2018-10-15,1.55
2018-11-15,1.69
2018-12-15,1.6
2019-01-15,1.93
2019-02-15,1.76
2019-03-15,1.855
2019-04-15,1.965
2019-05-15,1.97
2019-06-15,1.86
2019-07-15,1.795
2019-08-15,1.895
2019-09-15,1.585
2019-10-15,1.365
2019-11-15,1.57
2019-12-15,1.395
2020-01-15,2.01
2020-02-15,1.74
2020-03-15,1.49
2020-04-15,1.57
2020-05-15,1.71
2020-06-15,1.54
2020-07-15,2.2
2020-08-15,2.13
2020-09-15,2.01
2020-10-15,2.34
2020-11-15,2.45
2020-12-15,2.39
2021-01-15,2.31
2021-02-15,2.55
2021-03-15,2.13
2021-04-15,1.84
2021-05-15,1.98
2021-06-15,1.93
2021-07-15,1.79
2021-08-15,1.7
2021-09-15,1.6
2021-10-15,1.39
2021-11-15,1.54
2021-12-15,1.6
2022-01-15,1.79
2022-02-15,1.92
2022-03-15,1.79
2022-04-15,1.76
2022-05-15,1.72
2022-06-15,1.98
2022-07-15,2.11
2022-08-15,1.72
2022-09-15,1.47
2022-10-15,1.48
2022-11-15,1.45
2022-12-15,1.51
