Date,TP
2016-01-15,0.044
2016-02-15,0.055
2016-03-15,0.03
2016-04-15,0.061
2016-05-15,0.059
2016-06-15,0.051
2016-07-15,0.049
2016-08-15,0.051
2016-09-15,0.05
2016-10-15,0.023
2016-11-15,0.05
2016-12-15,0.056
2017-01-15,0.053
2017-02-15,0.058
2017-03-15,0.048
2017-04-15,0.04
2017-05-15,0.05
2017-06-15,0.04
2017-07-15,0.05
2017-08-15,0.07
2017-09-15,0.06
2017-10-15,0.05
2017-11-15,0.06
2017-12-15,0.05
2018-01-15,0.3
2018-02-15,0.04
2018-03-15,0.04
2018-05-15,0.06
2018-06-15,0.04
2018-07-15,0.04
2018-08-15,0.05
2018-09-15,0.05
2018-10-15,0.05
2018-11-15,0.04
2018-12-15,0.04
2019-01-15,0.08
2019-02-15,0.03
2019-03-15,0.06
2019-04-15,0.03
2019-05-15,0.05
2019-06-15,0.04
2019-07-15,0.04
2019-08-15,0.05
2019-09-15,0.05
2019-10-15,0.03
2019-11-15,0.09
2019-12-15,0.03
2020-01-15,0.03
2020-02-15,0.06
2020-03-15,0.04
2020-04-15,0.04
2020-05-15,0.04
2020-06-15,0.03
2020-07-15,0.066
2020-08-15,0.03
2020-09-15,0.03
2020-10-15,0.06
2020-11-15,0.061
2020-12-15,0.07
2021-01-15,0.058
2021-02-15,0.052
2021-03-15,0.06
2021-04-15,0.06
2021-05-15,0.069
2021-06-15,0.077
2021-07-15,0.076
2021-08-15,0.07
2021-09-15,0.065
2021-10-15,0.064
2021-11-15,0.069
2021-12-15,0.066
2022-01-15,0.063
2022-02-15,0.055
2022-03-15,0.056
2022-04-15,0.052
2022-05-15,0.056
2022-06-15,0.053
2022-07-15,0.057
2022-08-15,0.051
2022-09-15,0.049
2022-10-15,0.051
2022-11-15,0.048
2022-12-15,0.05
