Date,TN
2016-01-15,1.23
2016-02-15,1.39
2016-03-15,1.135
2016-04-15,0.151
2016-05-15,0.775
2016-06-15,0.6825
2016-07-15,0.37
2016-08-15,0.41
2016-09-15,0.5
2016-10-15,1.205
2016-11-15,0.835
2016-12-15,0.915
2017-01-15,0.89
2017-02-15,0.855
2017-03-15,0.96
2017-04-15,0.845
2017-05-15,0.785
2017-06-15,0.58
2017-07-15,0.71
2017-08-15,0.72
2017-09-15,0.68
2017-10-15,0.71
2017-11-15,1.63
2017-12-15,1.06
2018-01-15,1.33
2018-02-15,1.49
2018-03-15,1.35
2018-04-15,1.04
2018-05-15,0.56
2018-06-15,0.55
2018-07-15,0.53
2018-08-15,0.89
2018-09-15,0.65
2018-10-15,0.89
2018-11-15,0.99
2018-12-15,0.68
2019-01-15,1.19
2019-02-15,1.22
2019-03-15,1.34
2019-04-15,1.09
2019-05-15,0.685
2019-06-15,0.795
2019-07-15,0.88
2019-08-15,0.9205
2019-09-15,1.04
2019-10-15,1.08
2019-11-15,0.94
2019-12-15,0.68
2020-01-15,1.48
2020-02-15,0.97
2020-03-15,0.96
2020-04-15,1.2
2020-05-15,0.66
2020-06-15,0.82
2020-07-15,1.02
2020-08-15,0.9
2020-09-15,0.99
2020-10-15,1.02
2020-11-15,0.84
2020-12-15,0.95
2021-01-15,1.24
2021-02-15,1.1
2021-03-15,1.21
2021-04-15,1.17
2021-05-15,0.68
2021-06-15,0.86
2021-07-15,1.03
2021-08-15,1.4
2021-09-15,1.33
2021-10-15,1.24
2021-11-15,1.01
2021-12-15,1.16
2022-01-15,1.11
2022-02-15,1.35
2022-03-15,1.58
2022-04-15,1.38
2022-05-15,0.76
2022-06-15,0.58
2022-07-15,0.6
2022-08-15,0.67
2022-09-15,1.65
2022-10-15,0.69
2022-11-15,0.61
2022-12-15,1.21
