Date,TP
2010-05-15,0.03
2010-06-15,0.04
2010-07-15,0.02
2010-08-15,0.015
2011-01-15,0.012
2011-05-15,0.018
2011-06-15,0.02
2011-07-15,0.025
2011-08-15,0.025
2011-09-15,0.012
2012-06-15,0.005
2012-07-15,0.005
2012-08-15,0.005
2012-09-15,0.005
2012-10-15,0.005
2018-05-15,0.01
2018-06-15,0.01
2018-07-15,0.01
2018-08-15,0.01
2018-09-15,0.01
2018-10-15,0.01
2018-11-15,0.01
2019-05-15,0.005
2019-06-15,0.005
2019-07-15,0.005
2019-08-15,0.01
2019-09-15,0.005
2019-10-15,0.01
2019-11-15,0.01
2019-12-15,0.01
2020-01-15,0.01
2020-02-15,0.01
2020-03-15,0.01
2020-04-15,0.01
2020-05-15,0.005
2020-06-15,0.005
2020-07-15,0.005
2020-08-15,0.005
2020-09-15,0.005
2020-10-15,0.005
2020-11-15,0.01
2020-12-15,0.01
2021-04-15,0.005
2021-05-15,0.005
2021-06-15,0.005
2021-07-15,0.018
2021-08-15,0.0075
2021-09-15,0.005
2021-10-15,0.005
2021-11-15,0.01
2021-12-15,0.01
2022-01-15,0.01
2022-02-15,0.01
2022-03-15,0.01
2022-04-15,0.04
2022-05-15,0.005
2022-06-15,0.005
2022-07-15,0.005
2022-08-15,0.005
2022-09-15,0.0165
