Date,TN
2016-01-15,0.18
2016-02-15,0.49
2016-03-15,0.43
2016-04-15,0.45
2016-05-15,0.46
2016-06-15,0.47
2016-07-15,0.48
2016-08-15,0.37
2016-09-15,0.46
2016-10-15,0.42
2016-11-15,0.4
2016-12-15,0.47
2017-01-15,0.48
2017-02-15,0.48
2017-03-15,0.47
2017-04-15,0.48
2017-05-15,0.47
2017-06-15,0.49
2017-07-15,0.47
2017-08-15,0.45
2017-09-15,0.47
2017-11-15,0.52
2017-12-15,0.58667
2018-01-15,0.52333
2018-02-15,0.82
2018-03-15,0.43
2018-04-15,0.45
2018-05-15,0.49
2018-06-15,0.58
2018-07-15,0.49
2018-08-15,0.57
2018-09-15,0.6
2018-10-15,0.65
2018-11-15,0.56
2018-12-15,0.63
2019-01-15,0.46
2019-02-15,0.95
2019-03-15,0.47
2019-04-15,0.7
2019-05-15,0.65
2019-06-15,0.65
2019-09-15,0.45
2019-10-15,0.44
2019-11-15,0.56
2019-12-15,0.56
2020-01-15,0.46
2020-02-15,0.6
2020-03-15,0.53
2020-04-15,0.45
2020-05-15,0.6
2020-06-15,0.42
2020-07-15,0.54
2020-08-15,0.44
2020-09-15,0.49
2020-10-15,0.44
2020-11-15,0.46
2020-12-15,0.45
2021-01-15,0.43
2021-02-15,0.39
2021-03-15,0.38
2021-04-15,0.41
2021-05-15,0.4
2021-06-15,0.34
2021-07-15,0.49
2021-08-15,0.6
2021-09-15,0.58
2021-10-15,0.61
2021-11-15,0.57
2021-12-15,0.52
2022-01-15,0.49
2022-02-15,0.44
2022-03-15,0.42
2022-04-15,0.39
2022-05-15,0.4
2022-06-15,0.43
2022-07-15,0.37
2022-08-15,0.35
2022-09-15,0.33
2022-10-15,0.41
2022-11-15,0.46
2022-12-15,0.49
