Date,TN
2016-01-15,0.46
2016-02-15,0.47
2016-03-15,0.44
2016-04-15,0.46
2016-05-15,0.47
2016-06-15,0.43
2016-07-15,0.43
2016-08-15,0.47
2016-09-15,0.45
2016-10-15,0.425
2016-11-15,0.44
2016-12-15,0.46
2017-01-15,0.43
2017-02-15,0.4
2017-03-15,0.37
2017-04-15,0.43
2017-05-15,0.48
2017-06-15,0.44
2017-07-15,0.48
2017-08-15,0.45
2017-09-15,0.42
2017-10-15,0.47
2017-11-15,0.45
2017-12-15,0.38
2018-01-15,0.54333
2018-02-15,0.46
2018-03-15,0.38
2018-04-15,0.44
2018-05-15,0.35
2018-06-15,0.35
2018-07-15,0.46
2018-08-15,0.43
2018-09-15,0.44
2018-10-15,0.42
2018-11-15,0.4
2018-12-15,0.44
2019-01-15,0.46
2019-02-15,1.01
2019-03-15,1.17
2019-04-15,0.68
2019-05-15,0.43
2019-06-15,0.85
2019-07-15,0.31
2019-08-15,0.76
2019-09-15,0.69
2019-10-15,0.49
2019-11-15,0.45
2019-12-15,0.33
2020-01-15,0.33
2020-02-15,0.44
2020-03-15,0.38
2020-04-15,0.33
2020-05-15,0.41
2020-06-15,0.22
2020-07-15,0.13
2020-08-15,0.19
2020-09-15,1.16
2020-10-15,0.59
2020-11-15,2.62
2020-12-15,1.01
2021-01-15,0.43
2021-02-15,0.58
2021-03-15,0.6
2021-04-15,0.42
2021-05-15,0.2
2021-06-15,0.21
2021-07-15,0.28
2021-08-15,0.3
2021-09-15,0.78
2021-10-15,0.45
2021-11-15,0.67
2021-12-15,0.62
2022-01-15,0.6
2022-02-15,0.54
2022-03-15,0.49
2022-04-15,0.35
2022-05-15,0.25
2022-06-15,0.19
2022-07-15,0.28
2022-08-15,0.22
2022-09-15,0.26
2022-10-15,0.34
2022-11-15,0.4
2022-12-15,0.47
