Date,TN
2016-02-15,0.75
2016-03-15,0.8
2016-04-15,0.76
2016-05-15,0.91
2016-06-15,0.81
2016-07-15,0.96
2016-08-15,1.45
2016-09-15,1.16
2016-10-15,0.7
2016-11-15,1.01
2016-12-15,0.803
2017-03-15,0.9
2017-04-15,0.93
2017-05-15,0.783
2017-06-15,0.804
2017-07-15,0.694
2017-08-15,0.847
2017-09-15,0.748
2017-10-15,1.19
2017-11-15,1.14
2017-12-15,0.86
2018-03-15,1.08
2018-04-15,1.21
2018-05-15,1.19
2018-06-15,1.09
2018-07-15,1.0
2018-08-15,1.13
2018-09-15,1.29
2018-10-15,1.01
2018-11-15,0.93
2018-12-15,1.11
2019-01-15,1.3
2019-02-15,1.24
2019-03-15,1.26
2019-04-15,1.18
2019-05-15,1.02
2019-06-15,0.97
2019-07-15,0.71
2019-08-15,0.72
2019-09-15,0.5
2019-10-15,0.72
2019-11-15,0.79
2019-12-15,1.3
2020-01-15,1.3
2020-02-15,1.3
2020-03-15,1.3
2020-04-15,1.04
2020-05-15,1.05
2020-06-15,0.91
2020-07-15,0.85
2020-08-15,0.79
2020-09-15,0.64
2020-10-15,0.62
2020-11-15,0.63
2020-12-15,0.59
2021-01-15,0.6
2021-02-15,0.61
2021-03-15,0.63
2021-04-15,0.59
2021-05-15,0.51
2021-06-15,0.58
2021-07-15,2.04
2021-08-15,4.2
2021-09-15,3.29
2021-10-15,2.32
2021-11-15,2.04
2021-12-15,2.32
2022-01-15,2.4
2022-02-15,2.49
2022-03-15,2.4
2022-04-15,2.23
2022-05-15,1.8
2022-06-15,1.48
2022-07-15,1.69
2022-08-15,1.46
2022-09-15,0.96
2022-10-15,0.76
2022-11-15,0.78
2022-12-15,0.86
