Date,TP
2018-01-15,0.04
2018-02-15,0.04
2018-03-15,0.07
2018-04-15,0.04
2018-05-15,0.04
2018-06-15,0.04
2018-07-15,0.04
2018-08-15,0.03
2018-09-15,0.03
2018-10-15,0.03
2018-11-15,0.04
2018-12-15,0.04
2019-01-15,0.04
2019-02-15,0.04
2019-03-15,0.03
2019-04-15,0.03
2019-05-15,0.04
2019-06-15,0.04
2019-07-15,0.15
2019-11-15,0.02
2019-12-15,0.03
2020-01-15,0.032
2020-02-15,0.033
2020-03-15,0.043
2020-04-15,0.033
2020-05-15,0.04
2020-06-15,0.039
2020-07-15,0.039
2020-08-15,0.005
2020-09-15,0.02
2020-10-15,0.025
2020-11-15,0.015
2020-12-15,0.015
2021-01-15,0.014
2021-02-15,0.007
2021-03-15,0.009
2021-04-15,0.011
2021-05-15,0.009
2021-06-15,0.026
2021-07-15,0.085
2021-09-15,0.028
2021-10-15,0.032
2021-11-15,0.02
2021-12-15,0.013
2022-01-15,0.015
2022-02-15,0.008
2022-03-15,0.008
2022-04-15,0.016
2022-05-15,0.015
2022-06-15,0.006
2022-07-15,0.007
2022-10-15,0.05
2022-11-15,0.05
2022-12-15,0.03
