Date,TN
2016-01-15,0.917
2016-02-15,0.835
2016-03-15,0.574
2016-04-15,0.238
2016-05-15,0.141
2016-06-15,0.262
2016-07-15,0.588
2016-08-15,0.626
2016-09-15,0.532
2016-10-15,0.451
2016-11-15,0.578
2016-12-15,0.535
2017-01-15,0.487
2017-02-15,0.477
2017-03-15,0.411
2017-04-15,0.487
2017-05-15,0.41
2017-06-15,0.4
2017-07-15,0.41
2017-08-15,0.39
2017-09-15,0.38
2017-10-15,0.44
2017-11-15,0.67667
2017-12-15,0.84
2018-01-15,0.73333
2018-02-15,0.55667
2018-03-15,0.65
2018-04-15,0.67
2018-05-15,0.65
2018-06-15,0.66
2018-07-15,0.5
2018-08-15,0.35
2018-09-15,0.48
2018-10-15,0.36
2018-11-15,0.28
2018-12-15,0.38
2019-01-15,0.34
2019-02-15,0.42
2019-03-15,0.25
2019-04-15,0.6
2019-05-15,0.51
2019-06-15,0.28
2019-07-15,0.93
2019-08-15,0.51
2019-09-15,0.47
2019-10-15,0.025
2019-11-15,0.08
2019-12-15,0.84
2020-01-15,0.4
2020-02-15,0.33
2020-03-15,0.27
2020-04-15,0.51
2020-05-15,0.59
2020-06-15,0.51
2020-07-15,0.73
2020-08-15,0.52
2020-09-15,0.44
2020-10-15,0.59
2020-11-15,0.64
2020-12-15,0.7
2021-01-15,0.68
2021-02-15,0.64
2021-03-15,0.6
2021-04-15,0.73
2021-05-15,0.72
2021-06-15,0.56
2021-07-15,0.47
2021-08-15,0.3
2021-09-15,0.24
2021-10-15,0.31
2021-11-15,0.4
2021-12-15,0.55
2022-01-15,0.44
2022-02-15,0.45
2022-03-15,0.49
2022-04-15,0.64
2022-05-15,0.58
2022-06-15,0.34
2022-07-15,0.3
2022-08-15,0.22
2022-09-15,0.25
2022-10-15,0.26
2022-11-15,0.32
2022-12-15,0.44
