Date,TN
2016-01-15,0.55
2016-02-15,2.51
2016-03-15,2.68
2016-04-15,2.76
2016-05-15,2.72
2016-06-15,3.06
2016-07-15,2.85
2016-08-15,2.8
2016-09-15,3.2
2016-10-15,2.68
2016-11-15,2.59
2016-12-15,2.51
2017-01-15,2.38
2017-02-15,2.18
2017-03-15,2.32
2017-04-15,2.06
2017-05-15,2.28
2017-06-15,2.22
2017-07-15,2.47
2017-08-15,2.37
2017-09-15,2.27
2017-10-15,2.4
2017-11-15,2.72
2017-12-15,2.48
2018-01-15,2.16
2018-02-15,1.99
2018-03-15,1.88
2018-04-15,2.04
2018-05-15,2.02
2018-06-15,2.11
2018-07-15,2.51
2018-08-15,2.35
2018-09-15,2.24
2018-10-15,2.29
2018-11-15,2.03
2018-12-15,1.51
2019-01-15,1.29
2019-02-15,1.38
2019-03-15,1.39
2019-04-15,1.4
2019-05-15,1.82
2019-06-15,1.84
2019-07-15,2.09
2019-08-15,2.36
2019-09-15,2.86
2019-10-15,1.72
2019-11-15,1.27
2019-12-15,1.67
2020-01-15,1.5
2020-02-15,2.05
2020-03-15,1.22
2020-04-15,1.25
2020-05-15,1.48
2020-06-15,0.8
2020-07-15,3.18
2020-08-15,1.56
2020-09-15,2.64
2020-10-15,1.48
2020-11-15,2.92
2020-12-15,2.12
2021-01-15,2.51
2021-02-15,2.5
2021-03-15,2.05
2021-04-15,2.04
2021-05-15,2.11
2021-06-15,1.9
2021-07-15,2.07
2021-08-15,1.9
2021-09-15,2.05
2021-10-15,1.88
2021-11-15,1.73
2021-12-15,1.73
2022-01-15,1.94
2022-02-15,1.98
2022-03-15,1.88
2022-04-15,1.88
2022-05-15,1.78
2022-06-15,1.69
2022-07-15,1.77
2022-08-15,1.56
2022-09-15,1.36
2022-10-15,1.26
2022-11-15,1.19
2022-12-15,1.03
