Date,TP
2017-01-15,0.081
2017-02-15,0.0685
2017-03-15,0.07
2017-04-15,0.038
2017-05-15,0.065
2017-06-15,0.059
2017-07-15,0.085
2017-08-15,0.145
2017-09-15,0.125
2017-10-15,0.17
2017-11-15,0.13
2017-12-15,0.11
2018-01-15,0.09
2018-02-15,0.075
2018-03-15,0.115
2018-04-15,0.06
2018-05-15,0.1
2018-06-15,0.095
2018-07-15,0.115
2018-08-15,0.12
2018-09-15,0.11
2018-10-15,0.105
2018-11-15,0.13
2018-12-15,0.09
2019-01-15,0.075
2019-02-15,0.05
2019-03-15,0.045
2019-04-15,0.15
2019-05-15,0.07
2019-06-15,0.055
2019-07-15,0.095
2019-08-15,0.19
2019-09-15,0.095
2019-10-15,0.165
2019-11-15,0.075
2019-12-15,0.08
2020-01-15,0.08
2020-02-15,0.075
2020-03-15,0.05
2020-04-15,0.055
2020-05-15,0.12
2020-06-15,0.1
2020-07-15,0.158
2020-08-15,0.145
2020-09-15,0.0775
2020-10-15,0.065
2020-11-15,0.0755
2020-12-15,0.0505
2021-01-15,0.08
2021-02-15,0.0705
2021-03-15,0.0625
2021-04-15,0.062
2021-05-15,0.0755
2021-06-15,0.0915
2021-07-15,0.085
2021-08-15,0.099
2021-09-15,0.0975
2021-10-15,0.0925
2021-11-15,0.0735
2021-12-15,0.0545
2022-01-15,0.056
2022-02-15,0.0555
2022-03-15,0.0455
2022-04-15,0.0785
2022-05-15,0.0855
2022-06-15,0.094
2022-07-15,0.093
2022-08-15,0.1065
2022-09-15,0.0765
2022-10-15,0.073
2022-11-15,0.0635
2022-12-15,0.068
