Date,TN
2016-01-15,0.33
2016-02-15,0.77
2016-03-15,0.64
2016-04-15,0.73
2016-05-15,0.45
2016-06-15,0.94
2016-07-15,1.35
2016-08-15,0.92
2016-09-15,0.48
2016-10-15,0.67
2016-11-15,0.55
2016-12-15,0.7
2017-01-15,0.76
2017-02-15,0.89
2017-03-15,0.79
2017-04-15,0.89
2017-05-15,0.84
2017-06-15,0.55
2017-07-15,0.97
2017-08-15,0.75
2017-09-15,0.97
2017-10-15,0.92
2017-11-15,0.89
2017-12-15,0.9
2018-01-15,0.68
2018-02-15,0.75
2018-03-15,0.75
2018-04-15,1.19
2018-05-15,0.96
2018-06-15,0.92
2018-07-15,0.78
2018-08-15,0.39
2018-09-15,0.49
2018-10-15,0.41
2018-11-15,0.37
2018-12-15,0.5
2019-01-15,0.65
2019-02-15,0.65
2019-03-15,0.73
2019-04-15,0.83
2019-05-15,0.7
2019-06-15,0.48
2019-07-15,0.48
2019-08-15,0.59
2019-09-15,0.19
2019-10-15,0.46
2019-11-15,0.48
2019-12-15,0.57
2020-01-15,0.65
2020-02-15,0.69
2020-03-15,0.77
2020-04-15,0.99
2020-05-15,0.93
2020-06-15,0.87
2020-07-15,0.79
2020-08-15,0.45
2020-09-15,0.35
2020-10-15,0.48
2020-11-15,0.52
2020-12-15,0.51
2021-01-15,0.48
2021-02-15,0.45
2021-03-15,0.54
2021-04-15,0.71
2021-05-15,0.75
2021-06-15,0.72
2021-07-15,0.67
2021-08-15,0.6
2021-09-15,0.47
2021-10-15,0.44
2021-11-15,0.49
2021-12-15,0.51
2022-01-15,0.52
2022-02-15,0.53
2022-03-15,0.58
2022-04-15,1.06
2022-05-15,0.94
2022-06-15,0.75
2022-07-15,0.58
2022-08-15,0.41
2022-09-15,0.34
2022-10-15,0.42
2022-11-15,0.46
2022-12-15,0.54
