Date,TN
2016-01-15,2.073
2016-02-15,2.123
2016-03-15,2.32
2016-04-15,2.277
2016-05-15,2.08
2016-06-15,2.207
2016-07-15,2.083
2016-08-15,1.83
2016-09-15,1.813
2016-10-15,1.827
2016-11-15,1.743
2016-12-15,1.873
2017-01-15,2.11
2017-02-15,2.713
2017-03-15,2.197
2017-04-15,2.323
2017-05-15,2.31
2017-06-15,2.053
2017-07-15,2.0
2017-08-15,1.913
2017-09-15,2.027
2017-10-15,2.03
2017-11-15,1.95667
2017-12-15,1.99667
2018-01-15,2.05333
2018-02-15,2.41833
2018-03-15,2.66
2018-04-15,2.88
2018-05-15,3.08
2018-06-15,3.23
2018-07-15,2.96
2018-08-15,2.59
2018-09-15,2.32
2018-10-15,2.2
2018-11-15,2.19
2018-12-15,2.08
2019-01-15,2.35
2019-02-15,2.28
2019-03-15,2.5
2019-04-15,2.36
2019-05-15,2.41
2019-06-15,2.16
2019-07-15,1.76
2019-08-15,1.9
2019-09-15,1.7
2019-10-15,2.52
2019-11-15,2.05
2019-12-15,1.72
2020-01-15,1.87
2020-02-15,1.96
2020-03-15,1.88
2020-04-15,1.83
2020-05-15,2.3
2020-06-15,1.76
2020-07-15,1.65
2020-08-15,1.56
2020-09-15,1.5
2020-10-15,1.85
2020-11-15,1.67
2020-12-15,1.64
2021-01-15,1.86
2021-02-15,1.86
2021-03-15,1.82
2021-04-15,2.07
2021-05-15,2.2
2021-06-15,2.3
2021-07-15,2.06
2021-08-15,1.9
2021-09-15,1.76
2021-10-15,1.8
2021-11-15,1.77
2021-12-15,1.83
2022-01-15,1.82
2022-02-15,1.87
2022-03-15,1.73
2022-04-15,1.65
2022-05-15,1.86
2022-06-15,1.58
2022-07-15,1.38
2022-08-15,1.32
2022-09-15,1.43
2022-10-15,1.38
2022-11-15,1.22
2022-12-15,1.68
