Date,TP
2016-01-15,0.595
2016-02-15,0.045
2016-05-15,0.035
2016-06-15,0.03
2016-07-15,0.04
2016-08-15,0.05
2016-09-15,0.075
2016-10-15,0.045
2017-01-15,0.065
2017-02-15,0.04
2017-05-15,0.01
2017-06-15,0.045
2017-07-15,0.095
2017-08-15,0.09
2017-09-15,0.115
2019-01-15,0.07
2019-02-15,0.08
2019-03-15,0.065
2019-04-15,0.05
2019-05-15,0.035
2019-06-15,0.045
2019-07-15,0.205
2019-08-15,0.21
2019-09-15,0.175
2019-10-15,0.12
2019-11-15,0.095
2021-04-15,0.04
2021-05-15,0.07
2021-06-15,0.02
2021-07-15,0.11
2021-09-15,0.17
2021-10-15,0.19
2021-11-15,0.09
2022-05-15,0.03
2022-06-15,0.07
2022-07-15,0.03
2022-08-15,0.19
2022-09-15,0.12
2022-10-15,0.14
2022-11-15,0.15
2022-12-15,0.06
