Date,TN
2018-01-15,6.0375
2018-02-15,6.72
2018-03-15,5.17
2018-04-15,4.73
2018-05-15,4.86
2018-06-15,2.96
2018-07-15,3.16
2018-08-15,2.46
2018-09-15,2.6
2018-10-15,1.97
2018-11-15,2.8
2018-12-15,3.47
2019-01-15,0.08
2019-02-15,4.6
2019-03-15,4.19
2019-04-15,3.34
2019-05-15,3.2
2019-06-15,2.75
2019-07-15,1.82
2019-11-15,2.22
2019-12-15,5.11
2020-01-15,4.84
2020-02-15,4.23
2020-03-15,3.09
2020-04-15,3.16
2020-05-15,2.66
2020-06-15,2.31
2020-07-15,2.31
2020-08-15,1.96
2020-09-15,1.99
2020-10-15,3.02
2020-11-15,2.87
2020-12-15,3.9
2021-01-15,4.57
2021-02-15,3.77
2021-03-15,3.42
2021-04-15,3.6
2021-05-15,2.94
2021-06-15,2.41
2021-07-15,2.43
2021-09-15,2.78
2021-10-15,2.5
2021-11-15,4.3
2021-12-15,3.93
2022-01-15,5.1
2022-02-15,4.52
2022-03-15,4.13
2022-04-15,3.64
2022-05-15,3.48
2022-06-15,1.69
2022-07-15,1.51
2022-10-15,7.26
2022-11-15,4.93
2022-12-15,3.31
