Date,TN
2016-01-15,1.18
2016-02-15,1.27
2016-03-15,1.24
2016-04-15,1.205
2016-05-15,1.175
2016-06-15,1.115
2016-07-15,1.095
2016-08-15,1.025
2016-09-15,0.99
2016-10-15,1.05
2016-11-15,0.985
2016-12-15,1.135
2017-01-15,1.11
2017-02-15,1.055
2017-03-15,1.11
2017-04-15,1.11
2017-05-15,1.12
2017-06-15,1.305
2017-07-15,1.22
2017-08-15,1.19
2017-09-15,1.19
2017-10-15,1.265
2017-11-15,1.03
2017-12-15,1.32
2018-01-15,1.13333
2018-02-15,1.493335
2018-03-15,1.275
2018-04-15,1.36
2018-05-15,1.46
2018-06-15,1.39
2018-07-15,1.275
2018-08-15,1.155
2018-09-15,1.26
2018-10-15,1.155
2018-11-15,1.18
2018-12-15,1.1
2019-01-15,1.1
2019-02-15,1.245
2019-03-15,1.1
2019-04-15,1.085
2019-05-15,1.06
2019-06-15,1.07
2019-07-15,1.07
2019-08-15,0.965
2019-09-15,1.015
2019-10-15,1.105
2019-11-15,1.28
2019-12-15,0.89
2020-01-15,1.195
2020-02-15,1.18
2020-03-15,1.355
2020-04-15,1.16
2020-05-15,1.16
2020-06-15,1.04
2020-07-15,1.07
2020-08-15,0.93
2020-09-15,1.18
2020-10-15,1.21
2020-11-15,1.19
2020-12-15,1.2
2021-01-15,1.2
2021-02-15,1.155
2021-03-15,1.165
2021-04-15,1.18
2021-05-15,1.19
2021-06-15,1.15
2021-07-15,1.035
2021-08-15,1.01
2021-09-15,1.185
2021-10-15,1.38
2021-11-15,1.415
2021-12-15,1.47
2022-01-15,1.425
2022-02-15,1.44
2022-03-15,1.485
2022-04-15,1.46
2022-05-15,1.365
2022-06-15,1.335
2022-07-15,1.11
2022-08-15,1.02
2022-09-15,0.99
2022-10-15,1.1
2022-11-15,1.265
2022-12-15,1.235
