Date,TP
2018-01-15,0.04
2018-02-15,0.025
2018-03-15,0.03
2018-04-15,0.02
2018-05-15,0.02
2018-06-15,0.02
2018-07-15,0.05
2018-08-15,0.025
2018-09-15,0.05
2018-10-15,0.04
2018-11-15,0.04
2018-12-15,0.05
2019-01-15,0.035
2019-02-15,0.035
2019-03-15,0.035
2019-04-15,0.02
2019-05-15,0.04
2019-06-15,0.02
2019-07-15,0.04
2019-08-15,0.05
2019-09-15,0.04
2019-10-15,0.15
2019-11-15,0.045
2019-12-15,0.0075
2020-01-15,0.0475
2020-02-15,0.03
2020-03-15,0.025
2020-04-15,0.04
2020-05-15,0.055
2020-06-15,0.03
2020-07-15,0.076
2020-08-15,0.142
2020-09-15,0.0525
2020-10-15,0.04
2020-11-15,0.0285
2020-12-15,0.024
2021-02-15,0.055
2021-03-15,0.0285
2021-04-15,0.0265
2021-05-15,0.0315
2021-06-15,0.035
2021-07-15,0.054
2021-08-15,0.111
2021-09-15,0.1115
2021-10-15,0.072
2021-11-15,0.039
2021-12-15,0.031
2022-01-15,0.0385
2022-02-15,0.0305
2022-03-15,0.0365
2022-04-15,0.0325
2022-05-15,0.037
2022-06-15,0.0405
2022-07-15,0.079
2022-08-15,0.053
2022-09-15,0.0415
2022-10-15,0.04
2022-11-15,0.0375
2022-12-15,0.036
